is_cylinder,layer_id,indep0,pair_theta,pair_phi
True,0,-505.68,0.0,0.0
True,0,-485.04,0.38479148978698774,0.13499398306667112
True,0,-464.4,0.03358807163446122,0.040498143472208155
True,0,-443.76,0.07863087782429977,0.05515188963761762
True,0,-423.12,0.06074521560882225,0.11590083129174089
True,0,-402.48,0.21844378288166616,0.45774914180785187
True,0,-381.84,0.14033522097891854,0.27099160211845585
True,0,-361.2,0.08431818968391276,0.25136535100344176
True,0,-340.56,0.08355998020512291,0.20462416286379184
True,0,-319.92,0.02337640622349685,0.04141879846232932
True,0,-299.28,0.020333334394291778,0.03405630538514427
True,0,-278.64,0.06544471925847324,0.030580818275771172
True,0,-258.0,0.038287532067532416,0.03727419040615913
True,0,-237.35999999999999,0.024859254675767807,0.03363420760534605
True,0,-216.71999999999997,0.05047778615624948,0.03185277525134969
True,0,-196.07999999999998,0.059498493196184096,0.03721180312416204
True,0,-175.44,0.03444823577175117,0.031028568905314243
True,0,-154.8,0.03369813477203673,0.0324650595026634
True,0,-134.16,0.06361719059830603,0.032417031492908144
True,0,-113.51999999999998,0.02932871332678682,0.03128507749279939
True,0,-92.88,0.03637820081225904,0.03269753592748839
True,0,-72.23999999999998,0.05703566968006303,0.030692415038549064
True,0,-51.599999999999966,0.029464669890750375,0.03193617780980924
True,0,-30.95999999999998,0.02427839986305502,0.032049989419050656
True,0,-10.319999999999993,0.0299610952173726,0.031756536972623525
True,0,10.319999999999993,0.029364813039310454,0.029903345630190016
True,0,30.95999999999998,0.021260241809196653,0.03032387766321608
True,0,51.60000000000002,0.025045826336834727,0.029972799755858565
True,0,72.24000000000007,0.05216101554004135,0.03015399712314292
True,0,92.88000000000005,0.026365729425547317,0.03137146644723726
True,0,113.52000000000004,0.03168143734522081,0.031246028471811398
True,0,134.16000000000003,0.055114586342243484,0.03485696268757567
True,0,154.8,0.028891271513304947,0.030608762673108636
True,0,175.44,0.026166872844778533,0.03213368435090588
True,0,196.07999999999998,0.0616684844537763,0.03370143322436742
True,0,216.71999999999997,0.06204476320505771,0.029424774726234965
True,0,237.36,0.030139854473469986,0.033669434351159724
True,0,258.00000000000006,0.05156672807578012,0.03758732471996721
True,0,278.64000000000004,0.061681846948114225,0.03843618276671408
True,0,299.28000000000003,0.02069807225948048,0.03420725562004063
True,0,319.92,0.09706361356574149,0.07216349119416741
True,0,340.56,0.06456742265833379,0.047416143448498496
True,0,361.2,0.052344608477341126,0.17299383820163192
True,0,381.84000000000003,0.1819030027600521,0.19515232320318
True,0,402.4800000000001,0.03691478457910027,0.06641231268030892
True,0,423.12000000000006,0.05324069988188493,0.03798623384761054
True,0,443.76000000000005,0.34139756233754903,0.16551609844607917
True,0,464.40000000000003,0.6545606156316267,0.2540974481640393
True,0,485.04,0.0435371288713216,0.03590150694628195
True,0,505.68,0.0,0.0
True,1,-505.68,0.0,0.0
True,1,-485.04,0.06846565984140822,0.030375486759480534
True,1,-464.4,0.05280730510146852,0.02929423699869306
True,1,-443.76,0.05317892331062514,0.029413986542759125
True,1,-423.12,0.07041992967722088,0.026852154674356817
True,1,-402.48,0.06012223314325461,0.0310161375748456
True,1,-381.84,0.06994333764128982,0.031023410366525766
True,1,-361.2,0.06544515538200107,0.0301564840475691
True,1,-340.56,0.06894668465246029,0.03189199062489108
True,1,-319.92,0.06218924604452585,0.029958122200812128
True,1,-299.28,0.04981743838880141,0.02669069411770774
True,1,-278.64,0.06765949099211574,0.026708958790125116
True,1,-258.0,0.04979900184102459,0.027517175208854997
True,1,-237.35999999999999,0.05744626781339188,0.030484804366734154
True,1,-216.71999999999997,0.07009516725283349,0.030992076835418332
True,1,-196.07999999999998,0.05399848947248777,0.028705976298091088
True,1,-175.44,0.06075692014331223,0.02919263969779042
True,1,-154.8,0.05914015454235726,0.030596160257668127
True,1,-134.16,0.060342905206473084,0.026010671072149202
True,1,-113.51999999999998,0.05233856518314247,0.030504331617509355
True,1,-92.88,0.04906866998391251,0.030026931782294826
True,1,-72.23999999999998,0.04816512619094776,0.02857869166267742
True,1,-51.599999999999966,0.04200254620800258,0.03192884819655955
True,1,-30.95999999999998,0.034684071678478895,0.03084581031052134
True,1,-10.319999999999993,0.041034078790237995,0.029043528711383416
True,1,10.319999999999993,0.04082714972530948,0.027458291572328323
True,1,30.95999999999998,0.034497093533539865,0.030427662348613514
True,1,51.60000000000002,0.03530301680360281,0.02908122066362469
True,1,72.24000000000007,0.045379752123028326,0.026035407646218683
True,1,92.88000000000005,0.04881348275973853,0.031917699186770024
True,1,113.52000000000004,0.04603571804539361,0.029918026336084154
True,1,134.16000000000003,0.061919038342639704,0.02813279756267129
True,1,154.8,0.05317447417124209,0.03103196179148468
True,1,175.44,0.053787321388599624,0.030492346472121838
True,1,196.07999999999998,0.06175930404573179,0.03006021108005069
True,1,216.71999999999997,0.06585575426970325,0.025181157696509388
True,1,237.36,0.060408427498639616,0.030399604967870305
True,1,258.00000000000006,0.053261737277746746,0.028988415619812073
True,1,278.64000000000004,0.12484767551205932,0.037346474984599295
True,1,299.28000000000003,0.04765112721610663,0.02785286993699804
True,1,319.92,0.05153156373375293,0.031657434731568644
True,1,340.56,0.06911362546859945,0.027380790730085054
True,1,361.2,0.05936645377840237,0.03262468323391723
True,1,381.84000000000003,0.04518251632902677,0.02602753599815643
True,1,402.4800000000001,0.06723267103488517,0.030918757395417443
True,1,423.12000000000006,0.06679737946332878,0.028586887646985706
True,1,443.76000000000005,0.05584317890843245,0.031302556113294994
True,1,464.40000000000003,0.04816482307110506,0.027329227638941286
True,1,485.04,0.06942184794185548,0.029660791918980692
True,1,505.68,0.0,0.0
True,2,-505.68,0.0,0.0
True,2,-485.04,0.022231143169556287,0.03201414781423881
True,2,-464.4,0.03526447385977812,0.03546105079031728
True,2,-443.76,0.06908411304142079,0.028533573588968752
True,2,-423.12,0.06175759984678009,0.034927696526290034
True,2,-402.48,0.034115598710387524,0.0305172869102786
True,2,-381.84,0.04072889528022384,0.028229616775290043
True,2,-361.2,0.03275702836874144,0.02847628226098753
True,2,-340.56,0.06861123873035993,0.022113014822052746
True,2,-319.92,0.06596806957615235,0.040205361940807864
True,2,-299.28,0.04063444667247665,0.033425030099787124
True,2,-278.64,0.051331281129066354,0.029740124185629047
True,2,-258.0,0.04121935393180031,0.030007899666763323
True,2,-237.35999999999999,0.055655044344724694,0.033796254340925494
True,2,-216.71999999999997,0.055024605964700254,0.032307817435001794
True,2,-196.07999999999998,0.048537986907816195,0.026980278521863636
True,2,-175.44,0.04424972232770823,0.04059266749297874
True,2,-154.8,0.05641180636139413,0.048269175459395325
True,2,-134.16,0.04442638808929598,0.029038059833181216
True,2,-113.51999999999998,0.03758421425235803,0.03107908991464535
